RELATIONSHIPID	CONCEPTID1	RELATIONSHIPTYPE	CONCEPTID2	CHARACTERISTICTYPE	REFINABILITY	RELATIONSHIPGROUP
553441000005127	553611000005101	116680003	272407005	0	0	0
553451000005125	553621000005107	116680003	272407005	0	0	0
553611000005129	212385001	116680003	417746004	0	0	0
553621000005124	212386000	116680003	417746004	0	0	0
553631000005122	263265006	116680003	417746004	0	0	0
553641000005125	263269000	116680003	417746004	0	0	0
553811000005128	553811000005100	116680003	322236009	0	0	0
553821000005123	553811000005100	127489000	387517004	0	0	0
553831000005121	553811000005100	411116001	421026006	0	0	0
554011000005124	554011000005107	116680003	394658006	0	0	0
554021000005129	554021000005101	116680003	272511002	0	0	0
554031000005126	554021000005101	116680003	545021000005100	0	0	0
554041000005123	554021000005101	116680003	545031000005102	0	0	0
554051000005120	554021000005101	116680003	545041000005105	0	0	0
554061000005122	554021000005101	116680003	545051000005107	0	0	0
554071000005128	554021000005101	116680003	545211000005101	0	0	0
554081000005125	554021000005101	116680003	545921000005101	0	0	0
554091000005127	554031000005103	116680003	224884006	0	0	0
554101000005120	554031000005103	116680003	288573005	0	0	0
554111000005123	554041000005106	116680003	547211000005108	0	0	0
554121000005128	554051000005108	116680003	288573005	0	0	0
554131000005125	554061000005105	116680003	288573005	0	0	0
554141000005122	550621000005101	116680003	272511002	0	0	0
554151000005124	550661000005105	116680003	288573005	0	0	0
554161000005121	554071000005100	116680003	22232009	0	0	0
554211000005125	554211000005102	116680003	285201006	0	0	0
554221000005120	554211000005102	116680003	288573005	0	0	0
554231000005123	554221000005108	116680003	288573005	0	0	0
554241000005126	554231000005106	116680003	285201006	0	0	0
554251000005129	554231000005106	116680003	288573005	0	0	0
554261000005127	554241000005103	116680003	396278008	0	0	0
554411000005129	554411000005101	116680003	272511002	0	0	0
554421000005124	554421000005107	116680003	394658006	0	0	0
554431000005122	554431000005105	116680003	394658006	0	0	0
554441000005125	554441000005102	116680003	394658006	0	0	0
